taxa,decay_rate,buff_width,tws,cv_score,delta_score
birds,100,500,1 0 2,30734.585114645844,0
birds,100,500,3 0 0,30740.067600253777,-5.482485607932176
birds,100,500,1 2 0,30741.013406296937,-6.428291651092877
birds,100,500,2 1 0,30741.90109150083,-7.3159768549849105
birds,100,500,2 0 1,30742.03204359792,-7.446928952074813
birds,50,500,2 0 1,30742.909292164168,-8.324177518323268
birds,100,500,0 3 0,30743.14212268736,-8.557008041516383
birds,100,500,0 0 3,30744.480535379073,-9.895420733228093
birds,50,500,0 3 0,30747.003220678784,-12.41810603293925
birds,100,500,1 1 1,30751.55216699197,-16.967052346124547
birds,100,1000,0 2 1,30752.78358811225,-18.19847346640381
birds,50,500,1 0 2,30752.90621141423,-18.32109676838445
birds,50,500,3 0 0,30753.231245338848,-18.646130693003215
birds,100,500,0 1 2,30755.091232545536,-20.506117899691162
birds,50,500,1 1 1,30755.975068392665,-21.389953746820538
birds,100,1000,0 1 2,30757.77896691466,-23.193852268814226
birds,50,500,0 0 3,30758.43273617815,-23.84762153230622
birds,50,1000,0 2 1,30758.86761455093,-24.282499905086297
birds,50,500,2 1 0,30760.296505186936,-25.711390541091532
birds,100,1000,3 0 0,30761.05368556659,-26.46857092074424
birds,50,1000,3 0 0,30766.720944497396,-32.135829851551534
birds,50,1000,0 0 3,30767.224918360243,-32.63980371439902
birds,50,1000,0 3 0,30767.514248444484,-32.92913379863967
birds,50,1000,2 0 1,30767.897215236026,-33.31210059018122
birds,50,500,1 2 0,30768.21366830812,-33.6285536622745
birds,100,1000,2 0 1,30769.41127390114,-34.82615925529535
birds,100,500,0 2 1,30769.738088983908,-35.15297433806336
birds,50,500,0 1 2,30770.510830584823,-35.9257159389781
birds,50,1000,0 1 2,30770.535297555776,-35.950182909931755
birds,100,1000,0 0 3,30775.670399175753,-41.08528452990868
birds,100,1000,2 1 0,30775.72158332643,-41.136468680586404
birds,100,1000,0 3 0,30775.807555187155,-41.22244054131079
birds,50,1000,1 1 1,30775.97480472501,-41.38969007916603
birds,50,100,0 3 0,30777.761319286317,-43.17620464047286
birds,0,1000,0 0 3,30777.81036869683,-43.22525405098713
birds,100,1000,1 2 0,30777.95294092225,-43.36782627640423
birds,50,500,0 2 1,30779.870551012307,-45.28543636646282
birds,50,100,2 1 0,30781.347290673435,-46.76217602759061
