point,ucb_name,can_cov,shr_cov
AAW51.5,aaw_1,2,10
AAW51.2,aaw_10,5,13
AAW60.10,aaw_100,28.000000000000004,0
NA,aaw_101,0,5
AAW60.1,aaw_102,76,0
NA,aaw_103,NA,NA
AAW58.8,aaw_104,8,4
AAW57.2,aaw_105,7,5
AAW57.8,aaw_106,12,17
AAW60.4,aaw_107,NA,NA
AAW58.10,aaw_108,12,19
NA,aaw_109,NA,NA
AAW57.3,aaw_110,4,11
AAW60.7,aaw_111,NA,NA
NA,aaw_112,12.5,1
AAW60.5,aaw_113,NA,NA
AAW60.9,aaw_115,NA,NA
AAW60.3,aaw_116,0,80
AAW57.10,aaw_117,13,1
AAW60.2,aaw_118,0,0
NA,aaw_119,NA,NA
AAW61.4,aaw_121,18,2
AAW61.10,aaw_123,21,6
AAW61.1,aaw_124,22,1
AAW61.8,aaw_127,4,44
AAW61.3,aaw_128,13,0
AAW61.6,aaw_130,6,22
AAW61.7,aaw_131,0,9
AAW61.9,aaw_134,1,8
AAW61.5,aaw_135,10,2
AAW61.2,aaw_137,12,2
AAW62.4,aaw_139,4,0
AAW51.10,aaw_14,10,21
AAW62.1,aaw_142,NA,NA
AAW63.6,aaw_143,9,27
AAW63.1,aaw_145,0,2
AAW63.9,aaw_148,0,24
AAW62.5,aaw_149,0,0
AAW51.4,aaw_15,2,9
AAW63.2,aaw_150,0,58
AAW62.2,aaw_155,0,0
AAW62.3,aaw_158,NA,NA
AAW63.7,aaw_160,2,29
AAW63.10,aaw_162,0,12
AAW62.6,aaw_163,20,0
AAW63.8,aaw_167,6,9
AAW63.3,aaw_171,1,4
AAW62.9,aaw_172,NA,NA
AAW62.7,aaw_173,NA,NA
AAW63.5,aaw_176,0,14
AAW62.10,aaw_178,0,0
AAW62.8,aaw_180,NA,NA
AAW63.4,aaw_182,3,5
AAW71.3,aaw_183,64,20
AAW71.1,aaw_185,8,10
AAW71.9,aaw_187,0,0
AAW71.7,aaw_189,NA,NA
AAW51.8,aaw_19,3,16
AAW71.5,aaw_191,20,0
AAW71.2,aaw_192,0,0
AAW71.8,aaw_193,16,20
AAW71.6,aaw_194,0,0
AAW71.4,aaw_195,0,5
AAW71.10,aaw_196,NA,NA
AAW51.6,aaw_20,12,6
AAW52.10,aaw_21,2,4
AAW53.8,aaw_22,0,0
AAW52.2,aaw_23,3,20
AAW52.1,aaw_25,6,4
AAW52.7,aaw_26,0,65
AAW52.9,aaw_29,4,9
AAW53.3,aaw_33,NA,NA
AAW52.5,aaw_34,8,52
AAW53.9,aaw_36,88,0
AAW52.3,aaw_37,5,5
AAW52.6,aaw_38,8,8
AAW52.8,aaw_39,4,65
AAW53.4,aaw_42,6.5,0
AAW52.4,aaw_43,4,25
AAW53.1,aaw_45,NA,NA
AAW53.5,aaw_46,NA,NA
AAW53.7,aaw_47,NA,NA
AAW53.2,aaw_48,56.00000000000001,5
AAW53.10,aaw_49,28.000000000000004,65
AAW51.7,aaw_5,4,4
AAW54.7,aaw_50,52,0
AAW54.9,aaw_51,0,0
AAW58.4,aaw_52,10,13
AAW58.1,aaw_53,4,19
NA,aaw_54,NA,NA
AAW53.6,aaw_55,32,5
AAW54.4,aaw_56,NA,NA
AAW54.2,aaw_57,NA,NA
NA,aaw_58,NA,NA
AAW54.5,aaw_59,NA,NA
AAW51.3,aaw_6,27,16
AAW54.3,aaw_60,NA,NA
NA,aaw_61,16,0
AAW54.6,aaw_62,4,0
NA,aaw_63,NA,NA
AAW58.2,aaw_64,15,11
NA,aaw_65,68,30
AAW57.9,aaw_66,31,28
AAW54.8,aaw_67,44,0
AAW58.5,aaw_68,19,6
AAW57.4,aaw_69,4,59
AAW51.1,aaw_7,11,5
AAW54.1,aaw_70,92,NA
NA,aaw_71,NA,NA
NA,aaw_72,44,0
NA,aaw_73,NA,NA
AAW57.5,aaw_74,42,9
AAW57.5,aaw_74,42,9
AAW58.3,aaw_75,15,36
NA,aaw_76,36,8
NA,aaw_77,0,5
NA,aaw_78,NA,NA
NA,aaw_79,NA,NA
AAW58.6,aaw_80,11,27
NA,aaw_81,NA,NA
AAW57.6,aaw_82,16,13
NA,aaw_83,20,8
NA,aaw_84,NA,NA
NA,aaw_85,NA,NA
NA,aaw_86,48,0
NA,aaw_87,NA,NA
NA,aaw_88,24,0
AAW58.9,aaw_89,9,2
AAW51.9,aaw_9,1,6
NA,aaw_90,NA,NA
AAW57.7,aaw_91,36,4
NA,aaw_92,0,0
AAW58.7,aaw_93,12,2
NA,aaw_94,NA,NA
AAW57.1,aaw_95,18,5
NA,aaw_96,4,0
AAW60.6,aaw_97,NA,NA
AAW60.8,aaw_98,0,9
NA,aaw_99,96,0
UNB1.4,ynp_1,38,23
UNB5.2,ynp_10,9,11
NA,ynp_100,0,0
ICB33.2,ynp_101,NA,0
NA,ynp_102,NA,NA
ICB30.1,ynp_103,2,45
NA,ynp_104,NA,NA
NA,ynp_105,56.00000000000001,0
NA,ynp_106,0,0
NA,ynp_107,NA,NA
NA,ynp_108,NA,NA
NA,ynp_109,60,0
UNB3.1,ynp_11,6,13
NA,ynp_110,0,71.5
NA,ynp_111,NA,NA
NA,ynp_112,68,0
NA,ynp_113,8,0
NA,ynp_114,NA,NA
UNB6.3,ynp_12,18,33
UNB3.4,ynp_13,6,25
UNB5.1,ynp_14,23,7
UNB6.4,ynp_15,9,13
UNB3.2,ynp_16,42,49
UNB5.9,ynp_17,9,8
UNB5.6,ynp_18,8,4
UNB5.8,ynp_19,9,15
UNB1.2,ynp_2,38,70
UNB4.3,ynp_20,38,47
UNB6.5,ynp_21,33,41
UNB4.1,ynp_22,18,43
UNB7.3,ynp_23,34,3
UNB7.9,ynp_24,14,11
NA,ynp_25,72,0
NA,ynp_26,0,13
ICB9.9,ynp_27,6,10
NA,ynp_28,48,0
ICB12.5,ynp_29,3,20
UNB1.10,ynp_3,18,46
ICB12.8,ynp_30,0,0
ICB12.3,ynp_31,1,60
NA,ynp_32,NA,NA
NA,ynp_33,8,0
NA,ynp_34,100,0
NA,ynp_35,0,8
NA,ynp_36,0,35
NA,ynp_37,0,65
NA,ynp_38,NA,65
NA,ynp_39,0,87
UNB1.8,ynp_4,17,16
ICB13.7,ynp_40,1,56
ICB13.8,ynp_41,0,30
ICB13.2,ynp_42,0,80
NA,ynp_43,0,60
ICB13.4,ynp_44,16,4
NA,ynp_45,0,76
ICB13.5,ynp_46,16,40
ICB13.1,ynp_47,19,53
NA,ynp_48,20,8
NA,ynp_49,16,39
UNB2.3,ynp_5,NA,NA
NA,ynp_50,40,18
NA,ynp_51,0,55
NA,ynp_52,0,0
NA,ynp_53,24,33
NA,ynp_54,68,30
NA,ynp_55,12,5
NA,ynp_56,NA,NA
NA,ynp_57,72,0
NA,ynp_58,NA,NA
NA,ynp_59,8,45
UNB2.1,ynp_6,NA,NA
NA,ynp_60,12,0
ICB17.3,ynp_61,NA,NA
ICB24.7,ynp_62,36,7
NA,ynp_63,NA,NA
ICB17.8,ynp_64,NA,NA
NA,ynp_65,NA,NA
ICB17.5,ynp_66,NA,NA
ICB17.6,ynp_67,NA,NA
ICB18.2,ynp_68,12,8
NA,ynp_69,NA,NA
